Month,Opening Bal,EMI,Interest,Principal,Closing Bal
1,200000.0,9091.13,1416.67,7674.47,192325.53
2,192325.53,9091.13,1362.31,7728.83,184596.7
3,184596.7,9091.13,1307.56,7783.57,176813.13
4,176813.13,9091.13,1252.43,7838.71,168974.42
5,168974.42,9091.13,1196.9,7894.23,161080.19
6,161080.19,9091.13,1140.98,7950.15,153130.04
7,153130.04,9091.13,1084.67,8006.46,145123.57
8,145123.57,9091.13,1027.96,8063.18,137060.4
9,137060.4,9091.13,970.84,8120.29,128940.11
10,128940.11,9091.13,913.33,8177.81,120762.3
11,120762.3,9091.13,855.4,8235.74,112526.56
12,112526.56,9091.13,797.06,8294.07,104232.49
13,104232.49,9091.13,738.31,8352.82,95879.67
14,95879.67,9091.13,679.15,8411.99,87467.68
15,87467.68,9091.13,619.56,8471.57,78996.11
16,78996.11,9091.13,559.56,8531.58,70464.53
17,70464.53,9091.13,499.12,8592.01,61872.52
18,61872.52,9091.13,438.26,8652.87,53219.65
19,53219.65,9091.13,376.97,8714.16,44505.48
20,44505.48,9091.13,315.25,8775.89,35729.6
21,35729.6,9091.13,253.08,8838.05,26891.55
22,26891.55,9091.13,190.48,8900.65,17990.89
23,17990.89,9091.13,127.44,8963.7,9027.19
24,9027.19,9091.13,63.94,9027.19,0.0
